epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1744.71,1.3843,1.58711,1.4551,0.6069,0.45493,0.49139,0.31072,1.41676,1.52749,1.54556,0.000547306,0.000547306,0.000547306
43,1785.53,1.37814,1.59287,1.44423,0.59913,0.45104,0.4754,0.30233,1.42964,1.57534,1.57055,0.000533558,0.000533558,0.000533558
44,1826.35,1.37487,1.59002,1.44804,0.54903,0.48967,0.48525,0.31523,1.41437,1.54442,1.54382,0.000519809,0.000519809,0.000519809
45,1868.4,1.37944,1.57864,1.44601,0.58162,0.47892,0.50295,0.31728,1.40687,1.50629,1.5227,0.00050606,0.00050606,0.00050606
46,1908.96,1.35288,1.53256,1.42897,0.58501,0.44408,0.4863,0.31586,1.39999,1.55276,1.52097,0.000492312,0.000492312,0.000492312
47,1951.09,1.33759,1.53784,1.42039,0.67477,0.42533,0.49319,0.31271,1.39681,1.53818,1.51638,0.000478563,0.000478563,0.000478563
48,1992.39,1.35492,1.53535,1.4254,0.56936,0.48823,0.48831,0.30692,1.40269,1.52224,1.53071,0.000464815,0.000464815,0.000464815
49,2034.17,1.33631,1.52473,1.42151,0.64829,0.45017,0.50109,0.31979,1.40996,1.49931,1.53198,0.000451066,0.000451066,0.000451066
50,2075.13,1.34693,1.51182,1.42923,0.65108,0.41916,0.49566,0.31422,1.39377,1.54727,1.5373,0.000437317,0.000437317,0.000437317
51,2117.11,1.33489,1.52143,1.42625,0.59239,0.4703,0.50951,0.32557,1.37365,1.50694,1.51754,0.000423569,0.000423569,0.000423569
52,2159.56,1.33979,1.51196,1.43143,0.63001,0.46695,0.51336,0.32809,1.38546,1.50047,1.53084,0.00040982,0.00040982,0.00040982
53,2200.79,1.32006,1.48947,1.41511,0.72646,0.44355,0.52755,0.34172,1.36283,1.45664,1.51861,0.000396071,0.000396071,0.000396071
54,2242.13,1.30371,1.47973,1.40962,0.59546,0.491,0.51858,0.33345,1.38709,1.48751,1.52866,0.000382323,0.000382323,0.000382323
55,2284.35,1.31549,1.49685,1.41444,0.59241,0.48714,0.527,0.33831,1.37071,1.45443,1.5176,0.000368574,0.000368574,0.000368574
56,2325.14,1.29192,1.44727,1.39162,0.58034,0.50573,0.53193,0.34615,1.36398,1.46279,1.50975,0.000354826,0.000354826,0.000354826
57,2366.39,1.29268,1.4255,1.39303,0.66574,0.48776,0.52681,0.34802,1.33016,1.4518,1.48198,0.000341077,0.000341077,0.000341077
58,2407.69,1.2783,1.41552,1.38363,0.65251,0.47851,0.52859,0.33854,1.34819,1.43217,1.48523,0.000327328,0.000327328,0.000327328
59,2450.45,1.292,1.4375,1.39759,0.65761,0.48583,0.53005,0.34365,1.36294,1.4031,1.50445,0.00031358,0.00031358,0.00031358
60,2491.39,1.28627,1.43394,1.39197,0.64833,0.50669,0.54587,0.35315,1.35059,1.42041,1.49188,0.000299831,0.000299831,0.000299831
61,2532.4,1.28522,1.39967,1.38328,0.5982,0.50232,0.53437,0.34874,1.33563,1.42528,1.48838,0.000286083,0.000286083,0.000286083
62,2574.25,1.28714,1.40122,1.39337,0.62724,0.4894,0.53548,0.34811,1.35169,1.41864,1.49404,0.000272334,0.000272334,0.000272334
63,2615.39,1.27552,1.41952,1.38518,0.67233,0.49831,0.53975,0.34743,1.33682,1.40396,1.49626,0.000258585,0.000258585,0.000258585
64,2656.32,1.25984,1.38192,1.37188,0.66123,0.47648,0.54241,0.34633,1.36737,1.41876,1.51602,0.000244837,0.000244837,0.000244837
65,2696.98,1.25217,1.37498,1.37708,0.68548,0.48102,0.53487,0.34492,1.36937,1.44907,1.51733,0.000231088,0.000231088,0.000231088
66,2738.96,1.24383,1.35691,1.36193,0.63588,0.48776,0.53687,0.35261,1.33389,1.41614,1.49237,0.000217339,0.000217339,0.000217339
67,2780.22,1.23201,1.34879,1.36187,0.69209,0.48143,0.54048,0.34847,1.3606,1.41119,1.51458,0.000203591,0.000203591,0.000203591
68,2820.86,1.24607,1.35667,1.36158,0.64965,0.48959,0.53777,0.35254,1.34731,1.40839,1.50076,0.000189842,0.000189842,0.000189842
69,2861.44,1.23286,1.32786,1.35342,0.64998,0.49227,0.54136,0.35322,1.35207,1.40828,1.50147,0.000176094,0.000176094,0.000176094
70,2902.27,1.21608,1.30356,1.33909,0.64526,0.489,0.54027,0.35472,1.35077,1.40378,1.49721,0.000162345,0.000162345,0.000162345
71,2944.37,1.2289,1.31039,1.40595,0.69842,0.50682,0.55177,0.35938,1.34909,1.38813,1.50469,0.000148596,0.000148596,0.000148596
72,2983.4,1.20203,1.26167,1.40274,0.69297,0.49034,0.55097,0.35958,1.34946,1.37849,1.50028,0.000134848,0.000134848,0.000134848
73,3023.87,1.19364,1.22529,1.387,0.68987,0.48839,0.54567,0.35815,1.34833,1.38609,1.4996,0.000121099,0.000121099,0.000121099
74,3063.1,1.18507,1.22266,1.38888,0.66959,0.50762,0.55106,0.36,1.34157,1.38221,1.50021,0.00010735,0.00010735,0.00010735
75,3102.25,1.17566,1.20851,1.38111,0.68049,0.51287,0.54857,0.36234,1.33384,1.37926,1.50314,9.36017e-05,9.36017e-05,9.36017e-05
76,3141.31,1.16539,1.19317,1.37805,0.66111,0.51186,0.55427,0.36358,1.33466,1.38857,1.50092,7.98531e-05,7.98531e-05,7.98531e-05
77,3180.5,1.15488,1.17396,1.36718,0.64972,0.50285,0.54974,0.36072,1.33188,1.37646,1.49464,6.61045e-05,6.61045e-05,6.61045e-05
78,3219.63,1.15187,1.15645,1.36126,0.67131,0.51562,0.55297,0.36167,1.33626,1.37214,1.50149,5.23559e-05,5.23559e-05,5.23559e-05
79,3258.23,1.14895,1.16418,1.36406,0.66789,0.51596,0.55716,0.36396,1.33031,1.36466,1.49788,3.86073e-05,3.86073e-05,3.86073e-05
80,3298.77,1.14303,1.16113,1.35934,0.67437,0.51487,0.55596,0.36425,1.33528,1.36662,1.50287,2.48586e-05,2.48586e-05,2.48586e-05
