epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7559,1.21317,2.72365,1.30942,0.38054,0.58882,0.38858,0.22082,1.30092,2.19122,1.39616,0.000368075,0.000368075,0.000368075
2,98.7351,1.26368,1.87997,1.28931,0.50418,0.53631,0.5146,0.29081,1.29492,2.18909,1.33922,0.000714041,0.000714041,0.000714041
3,141.172,1.26184,1.69616,1.28312,0.54712,0.60523,0.60442,0.37239,1.2317,1.63475,1.28778,0.00103556,0.00103556,0.00103556
4,182.268,1.22976,1.52631,1.24508,0.6484,0.70332,0.73794,0.45404,1.21672,1.26429,1.22375,0.00100101,0.00100101,0.00100101
5,222.517,1.20925,1.40084,1.23662,0.67855,0.68386,0.7068,0.43633,1.18498,1.21699,1.22343,0.000964348,0.000964348,0.000964348
6,263.912,1.19764,1.29839,1.22191,0.67837,0.74792,0.7302,0.46179,1.15806,1.21343,1.1883,0.000927685,0.000927685,0.000927685
7,304.323,1.16328,1.20932,1.20566,0.71397,0.74374,0.76926,0.49335,1.17256,1.11199,1.18576,0.000891022,0.000891022,0.000891022
8,344.538,1.1515,1.20695,1.20048,0.73933,0.79616,0.80855,0.5359,1.13758,0.94447,1.16311,0.000854359,0.000854359,0.000854359
9,384.691,1.13479,1.14213,1.18926,0.73245,0.69838,0.77231,0.49937,1.17293,1.09658,1.1688,0.000817696,0.000817696,0.000817696
10,424.482,1.12122,1.09237,1.18304,0.78897,0.75581,0.8375,0.55998,1.07923,0.91252,1.14764,0.000781033,0.000781033,0.000781033
11,464.318,1.09076,1.02303,1.16248,0.7573,0.79833,0.83388,0.53838,1.13898,0.88313,1.18665,0.00074437,0.00074437,0.00074437
12,505.377,1.10426,1.04699,1.16762,0.77515,0.80465,0.85114,0.56957,1.07948,0.86214,1.13185,0.000707707,0.000707707,0.000707707
13,545.746,1.08329,0.99098,1.1615,0.77507,0.81354,0.86822,0.58225,1.07242,0.84176,1.14243,0.000671044,0.000671044,0.000671044
14,586.023,1.07449,0.98091,1.15056,0.83352,0.76993,0.85903,0.57818,1.078,0.82293,1.129,0.000634381,0.000634381,0.000634381
15,625.807,1.05047,0.93394,1.14495,0.80744,0.85023,0.87922,0.59767,1.05662,0.7596,1.11985,0.000597718,0.000597718,0.000597718
16,665.689,1.04405,0.90293,1.14317,0.85714,0.84924,0.8991,0.60708,1.05179,0.75632,1.1247,0.000561055,0.000561055,0.000561055
17,706.709,1.03064,0.8795,1.1273,0.82513,0.82485,0.8841,0.61499,1.03125,0.75249,1.0953,0.000524392,0.000524392,0.000524392
18,746.897,1.03055,0.85912,1.1298,0.84466,0.82231,0.88995,0.62201,1.03073,0.75624,1.11513,0.000487729,0.000487729,0.000487729
19,788.057,1.0054,0.85078,1.12181,0.83407,0.86557,0.90292,0.63076,1.01966,0.71136,1.10653,0.000451066,0.000451066,0.000451066
20,827.966,0.99337,0.81131,1.11353,0.83608,0.83746,0.89557,0.63739,1.01461,0.69155,1.09824,0.000414403,0.000414403,0.000414403
21,868.259,0.95863,0.69598,1.08369,0.81405,0.84412,0.89608,0.63318,0.9989,0.73963,1.08118,0.00037774,0.00037774,0.00037774
22,906.658,0.94701,0.68547,1.07729,0.86359,0.84951,0.91852,0.64857,0.9959,0.69886,1.08634,0.000341077,0.000341077,0.000341077
23,945.25,0.93826,0.64401,1.06709,0.8703,0.86698,0.91767,0.65496,0.97831,0.6648,1.08221,0.000304414,0.000304414,0.000304414
24,983.688,0.92361,0.6051,1.06489,0.87901,0.88675,0.93207,0.66083,0.98992,0.61111,1.07712,0.000267751,0.000267751,0.000267751
25,1023.37,0.90479,0.60014,1.05039,0.90246,0.87937,0.93476,0.67194,0.96946,0.5939,1.06869,0.000231088,0.000231088,0.000231088
26,1061.65,0.88382,0.57082,1.03754,0.90879,0.88208,0.93876,0.68554,0.94933,0.58337,1.05654,0.000194425,0.000194425,0.000194425
27,1100.07,0.87485,0.54969,1.03662,0.89962,0.88683,0.94059,0.68926,0.94055,0.56401,1.05157,0.000157762,0.000157762,0.000157762
28,1138.85,0.86364,0.53165,1.03691,0.90578,0.89758,0.94544,0.69626,0.93055,0.55902,1.05588,0.000121099,0.000121099,0.000121099
29,1179.84,0.83822,0.51196,1.02388,0.90825,0.89932,0.94599,0.70012,0.92606,0.54206,1.04795,8.4436e-05,8.4436e-05,8.4436e-05
30,1228.01,0.8256,0.48598,1.0138,0.90163,0.90399,0.94943,0.70743,0.91603,0.53206,1.03954,4.7773e-05,4.7773e-05,4.7773e-05
